Time;20230815_CLBGA_PER2_1;20230815_CLBGA_PER2_2;20230815_CLBGA_PER2_3;20230815_IMR5_PER2_1;20230815_IMR5_PER2_2;20230815_IMR5_PER2_3;20230815_NGP_PER2_1;20230815_NGP_PER2_2;20230815_NGP_PER2_3;20230815_SKNBE_PER2_1;20230815_SKNBE_PER2_2;20230815_SKNBE_PER2_3;20230815_SKNSH_PER2_1;20230808_CLBGA_PER2_1;20230808_CLBGA_PER2_2;20230808_CLBGA_PER2_3;20230808_NGP_PER2_1;20230808_NGP_PER2_2;20230808_NGP_PER2_3;20230808_SKNAS_PER2_1;20230808_SKNAS_PER2_2;20230808_SKNBE_PER2_1;20230808_SKNBE_PER2_2;20230808_SKNBE_PER2_3;20230808_SKNSH_PER2_1;20230808_SKNSH_PER2_2;20230808_SKNSH_PER2_3;20220705_GIMEN_PER2_1;20220705_GIMEN_PER2_2;20220705_GIMEN_PER2_3;20220705_Kelly_PER2_1;20220705_Kelly_PER2_2;20220705_Kelly_PER2_3;20220705_SY5Y_PER2_1;20220705_SY5Y_PER2_2;20220628_Kelly_PER2_1;20220628_Kelly_PER2_2;20220628_Kelly_PER2_3;20210601_SY5Y_PER2_1;20210601_SY5Y_PER2_2;20210601_SY5Y_PER2_3;20210309_IMR5_PER2_1;20210309_IMR5_PER2_2;20210309_IMR5_PER2_3
1.83333;1019.51;919.219;841.319;199.286;172.268;257.595;35810.8;20679.8;17539.7;58.3437;36.0997;79.3301;1359.82;1182.33;827.136;813.432;5618.48;2998.55;4250.71;341.467;541.872;43.1113;15.4442;60.4546;4550.44;4633.32;5855.47;1822.44;2228.95;2098.23;31.4568;57.2265;39.1324;1577.65;2256.7;14.0104;43.7814;17.5853;40.1799;18.5912;52.4442;154.199;278.863;218.518
2;990.271;902.048;822.504;194.598;164.982;247.358;34547.8;19887.4;16825;60.2661;35.0887;77.5203;1285.73;1147.87;789.338;794.2;5354.7;2853.14;4067.33;329.744;520.253;45.6011;14.8401;57.9929;4283.49;4322.39;5449.12;1736.34;2124.16;2002.45;31.2991;56.3957;38.1752;1468.65;2109.99;13.9041;47.0698;17.4414;41.1125;18.1037;51.4965;148.921;272.464;208.923
2.16667;958.286;862.352;820.486;187.867;160.498;236.772;33108.9;19160.5;16173.5;60.1695;33.6607;79.2925;1233.5;1109.11;763.641;761.023;5080.12;2721.71;3890.54;319.908;505.309;45.1784;14.9718;57.3015;4020.28;4022.99;5077.34;1641.78;2022.47;1899.07;29.4482;55.3236;37.2613;1375.43;1983.02;14.8516;45.3154;17.377;39.4718;18.6174;54.0513;144.873;264.756;205.177
2.33333;930.015;830.109;814.538;180.705;154.688;230.487;31862.8;18545.7;15646.2;59.7772;34.6357;79.5725;1167.23;1074.54;735.515;739.207;4893.42;2608.17;3705.71;310.393;489.946;45.0294;14.9932;57.3998;3788.29;3743.06;4734.55;1568.97;1925.29;1818.08;28.7739;53.26;35.2687;1289.38;1867.18;14.3676;45.5444;18.0623;42.2407;18.2661;56.2548;140.83;261.336;201.536
2.5;901.03;813.417;807.474;175.73;151.19;222.617;30776;17993.6;15051.6;61.8026;33.8247;80.7395;1121.23;1037.4;705.373;725.812;4702.37;2497.56;3584.89;306.405;481.738;43.3824;13.8893;58.6069;3581.75;3509.7;4442.6;1500.32;1829.06;1744.68;27.6658;54.3915;34.7583;1238.83;1770.41;14.0821;46.522;17.0733;41.839;18.6799;58.7277;140.092;258.357;195.871
2.66667;873.619;782.743;799.042;173.1;144.792;218.074;29589.8;17415.3;14580;60.1686;32.8005;79.0012;1082.55;1007.89;678.416;695.447;4564.23;2413.87;3457.1;298.173;469.551;45.3544;13.9034;58.3314;3394.13;3296.31;4174.84;1439.18;1767.53;1659.36;27.775;53.424;32.8237;1179.81;1699.52;14.736;47.0903;17.2811;41.1495;18.6835;58.0832;134.615;255.723;191.958
2.83333;841.95;756.641;789.484;165.441;139.562;213.332;28591.8;16945.6;14142.2;61.8107;32.5025;80.3467;1053.09;979.771;658.784;675.967;4431.05;2335.72;3360.85;291.369;464.059;45.0782;13.8678;57.8186;3230.18;3124.11;3965.84;1359.8;1682.41;1594;27.5166;52.6581;33.581;1134.39;1647.05;14.9533;47.4683;17.5325;40.695;18.1857;57.4752;135.501;247.817;186.372
3;823.546;726.688;779.873;165.322;137.018;210.462;27800.2;16477.4;13698.3;60.3745;33.5394;81.3225;1037.26;941.967;628.523;665.414;4277.66;2276.11;3268.17;287.328;457.599;47.11;14.3063;61.3387;3092.33;2952.07;3757.34;1306.68;1613.31;1519.66;27.057;54.321;34.5275;1096.73;1573.81;14.7824;48.8935;17.4348;40.9128;17.4235;59.5363;131.135;247.046;184.45
3.16667;793.246;703.72;759.933;164.695;135.212;205.31;26856;15991.8;13366.1;61.0971;32.961;79.5946;1018.56;916.536;608.383;639.717;4188.5;2216.79;3201.49;281.468;450.772;46.1895;13.3852;57.8348;2972.99;2822.57;3631.53;1260.04;1538.34;1461.98;26.9293;55.4116;32.7713;1066.22;1534.18;14.3366;50.7402;19.0509;41.4209;17.1074;58.4463;127.713;243.461;180.973
3.33333;775.017;677.229;745.356;161.105;133.148;203.771;26131.4;15630.7;13045.1;62.6333;32.4433;78.0268;1012.43;893.772;590.472;623.81;4096.1;2162.23;3123.85;278.661;447.002;47.2387;14.5186;57.1097;2895.08;2746.82;3521.25;1227.29;1487.85;1418.53;26.8371;52.4761;33.2589;1038.54;1503.31;15.6878;49.4499;17.5471;42.4913;17.1713;59.0839;126.72;238.701;179.937
3.5;748.241;655.717;717.354;158.328;131.524;199.864;25547;15272.8;12728.8;60.5995;31.6855;78.926;1004.74;858.883;564.633;603.161;4038.28;2123.02;3074.57;280.01;441.032;47.3317;13.6736;57.5146;2833.52;2660.23;3452.38;1172.31;1435.9;1362.07;27.4958;54.0198;32.8368;1009.09;1454.12;14.9594;49.7908;19.1307;39.985;18.3003;54.5295;124.497;237.394;175.35
3.66667;721.417;634.648;692.212;156.166;129.247;199.8;24871.5;14980.6;12462.5;63.8876;32.0013;77.5456;1009.08;843.319;551.966;597.517;3975.44;2097.67;3027.11;275.141;439.179;45.9909;14.2681;60.6777;2780.84;2618.21;3407.36;1131.78;1387.73;1312.2;27.9486;53.3414;34.0896;988.447;1421.5;15.5953;49.1993;18.7152;42.5014;17.4954;54.1741;119.967;229.699;172.986
3.83333;705.741;614.817;659.598;156.115;131.109;198.117;24349.4;14700.3;12248.5;63.999;32.0562;79.6686;1019.68;826.326;539.351;584.65;3929.82;2080.15;2993.71;274.349;438.104;46.7785;13.992;59.0543;2777.61;2583.82;3400.92;1106.77;1343.67;1270.27;27.1829;52.8074;34.3172;974.047;1397.82;14.9456;52.4348;18.2443;42.6228;18.0137;53.8275;121.548;227.867;168.62
4;684.918;596.92;641.711;154.293;131.621;194.157;23924.1;14477.6;12021.4;61.8104;31.21;78.76;1026.7;801.793;513.605;602.412;3907.11;2057.55;2960.99;273.582;434.858;45.8829;13.7619;58.0941;2781.99;2586.89;3403.29;1077.11;1305.26;1235.53;28.0582;55.2736;33.8014;956.366;1367.06;14.9844;51.2288;18.5858;41.8346;17.5224;57.8929;118.849;225.041;166.765
4.16667;662.578;573.457;619.825;155.661;130.673;194.365;23390.6;14272.3;11850.2;60.9347;30.0647;80.7326;1031.76;788.732;501.43;613.858;3855.72;2037.72;2932.99;269.951;439.674;46.8498;13.3353;59.1283;2791.62;2599.65;3427.43;1052.17;1277.85;1201.11;27.4693;56.1508;33.1931;935.979;1346.9;16.3849;50.0773;19.5363;41.4342;17.5944;58.9329;118.259;224.793;165.769
4.33333;648.062;559.16;601.468;153.707;131.61;194.787;22970.2;14093.7;11698.4;61.5916;31.7002;80.0459;1048.86;801.618;489.819;610.147;3844.67;2035.21;2923.3;275.869;441.988;46.7044;13.6108;61.4547;2800.9;2614.08;3460.52;1033.64;1250.24;1181.24;28.922;55.4364;33.9533;924.597;1322.77;15.4083;50.9364;17.5279;42.2216;17.8767;58.6634;116.074;220.407;162.957
4.5;634.272;543.233;582.132;153.277;132.124;192.837;22642.9;13915.5;11545;61.9003;31.5884;80.3067;1062.59;816.395;476.51;604.228;3818.46;2019.86;2907.69;277.414;439.424;46.6357;13.1226;59.9478;2836.37;2642.1;3518.11;1020.58;1225.12;1151.26;28.116;54.4524;34.9775;913.251;1300.75;15.8176;50.0563;19.0773;40.9299;16.5326;58.8914;117.43;223.175;159.41
4.66667;618.007;528.642;560.868;150.013;134.863;194.518;22284.8;13792.8;11404.6;62.0131;30.5552;77.3025;1083.91;817.872;462.718;588.661;3833.21;2003.34;2898.14;282.356;446.277;45.6756;13.3328;61.2832;2881.11;2677.51;3552.54;1000.69;1210.05;1124.56;28.3786;56.094;33.9664;905.157;1290.09;15.2496;50.0506;18.5681;40.8013;16.7602;57.2891;114.944;225.09;160.406
4.83333;604.155;518.529;550.641;151.276;136.094;200.624;21972.1;13644.9;11323.1;60.5102;32.3962;78.1905;1100.46;808.26;448.248;583.052;3835.8;2015.31;2900.7;280.464;447.09;46.8845;13.6809;57.2453;2940.24;2715.26;3631.43;985.778;1189.31;1108.63;29.0371;54.0681;33.9367;898.264;1274.92;15.9233;51.3942;18.8448;42.5854;16.9899;59.7215;115.315;217.225;160.641
5;595.554;508.075;533.226;149.431;138.963;200.426;21751.5;13547.5;11258.9;64.7862;31.647;79.5572;1125.01;790.258;435.659;561.703;3813.51;2010.75;2891.84;288.038;460.166;48.1601;13.626;59.9716;3024.67;2758.99;3700.58;970.374;1178.86;1095.16;28.4161;56.1837;33.5275;881.445;1260.53;15.7973;50.3799;18.9157;41.5737;16.925;56.8154;114.59;218.525;161.227
5.16667;589.692;502.168;517.672;152.204;137.606;207.357;21506.7;13431.9;11129.2;61.9733;31.3485;75.9402;1136.13;763.563;425.489;550.506;3826.39;2023.04;2882.71;290.043;463.737;47.4306;13.704;59.8101;3096.19;2796.74;3762.24;974.926;1164.96;1079.72;29.1554;57.1688;34.1416;877.955;1250.68;15.7605;50.3181;18.766;40.6536;16.2131;55.8282;115.327;218.209;158.298
5.33333;572.485;487.274;504.55;153.284;140.104;208.304;21358.4;13380.7;11064.3;62.3341;31.1915;77.2868;1163.46;745.015;414.67;532.219;3850.57;2017.85;2901.78;292.526;458.745;47.7953;13.949;60.02;3171.86;2852.18;3828.15;962.348;1154.48;1064.65;28.8481;55.8444;35.2122;875.333;1234.12;16.3354;49.5504;18.7613;41.2779;16.7104;56.1135;115.698;216.275;156.831
5.5;561.297;483.685;496.859;152.857;142.347;211.052;21240.9;13302.4;11050.1;64.2584;31.1829;78.0208;1172.85;730.071;404.431;510.142;3871.16;2038.43;2907.96;288.415;469.516;47.1858;13.8784;60.2246;3213.39;2891.46;3895.39;959.948;1151.32;1060.43;28.2729;55.1856;34.9806;866.384;1235.02;14.9733;50.6622;18.5548;41.2781;16.4762;58.9507;116.509;214.551;155.038
5.66667;559.693;474.824;482.159;154.861;140.91;212.482;21088.3;13253.2;10968.6;60.8838;30.2881;77.3142;1184.02;703.745;390.25;502.657;3939.42;2044.99;2920.41;299.572;463.655;46.3719;14.9568;59.4013;3243.61;2922.72;3939.4;958.878;1147.07;1052.73;28.5867;58.354;35.1342;859.934;1225.49;15.6146;50.7037;19.076;43.4082;18.1286;56.0153;117.173;213.526;155.793
5.83333;549.091;467.683;478.532;154.21;144.387;213.32;20962.2;13217.6;10930;62.2947;30.6965;77.4943;1197.17;688.938;393.45;489.727;4002.4;2064.99;2934.48;297.455;468.441;45.9592;14.152;57.0317;3305.32;2959.72;3992.65;954.475;1137.21;1045.29;28.9145;58.3679;34.0188;861.458;1216.06;15.4532;49.8296;20.2842;40.3041;17.7195;53.3408;117.402;216.055;155.828
6;541.201;463.997;468.515;154.323;144.329;215.602;20963;13178.7;10936.1;60.4481;31.2042;77.858;1221.93;673.381;378.194;467.83;4075.52;2079.74;2939.96;300.315;476.106;47.6301;13.7742;60.0055;3319.92;3006.52;4047.22;946.809;1131.63;1035.69;29.6211;56.0593;34.1765;847.623;1208.85;15.4267;51.9636;20.3576;41.6205;15.8384;56.5883;115.322;217.091;154.226
6.16667;540.588;457.33;460.706;154.697;143.799;213.923;20883.3;13169.1;10874.3;61.8362;31.9997;77.6943;1234.11;657.627;375.687;457.532;4140.63;2089.14;2949.65;299.99;470.792;48.892;13.9977;58.8619;3347.83;3040.21;4093.84;946.994;1130.07;1033.55;30.9537;58.3425;34.4266;847.815;1203.86;15.7008;49.1048;19.1142;41.9425;16.143;56.4498;117.973;217.279;156.959
6.33333;535.854;457.057;461.719;156.156;147.531;216.307;20818.5;13170.2;10868.7;60.8946;30.7047;75.1023;1247.47;642.321;371.196;448.724;4221.88;2119.14;2961.81;301.38;476.284;47.5181;13.9175;59.4775;3397.85;3062.71;4139.69;950.408;1126.69;1034.23;28.4713;55.7979;34.442;843.543;1197.17;15.5066;50.4027;19.5222;40.6932;16.0786;55.2737;117.084;215.874;155.273
6.5;531.752;456.267;456.683;161.94;146.275;217.568;20860.1;13166.5;10831.5;61.9043;31.8018;76.6731;1267.76;622.701;362.046;438.231;4262.3;2126.96;2974.98;305.311;478.51;47.5873;14.1203;58.9038;3394.42;3114.43;4189.38;943.942;1114.78;1031.16;27.9518;56.8075;33.4873;837.775;1188.2;16.6144;51.2669;18.8214;71.5869;16.5348;55.3841;119.611;213.592;153.393
6.66667;523.789;455.432;449.827;167.587;144.358;219.894;20814.6;13206.3;10839.8;60.1111;30.0613;76.662;1275.99;611.186;360.749;430.287;4307.25;2143.48;2991.45;301.829;480.583;46.6832;14.4519;60.3367;3434.42;3135.79;4219.71;938.777;1117.72;1029.13;27.0987;57.1165;33.2709;831.368;1176.42;14.867;51.4001;19.0552;41.3614;17.2987;53.9926;116.72;214.947;155.151
6.83333;533.07;452.071;443.157;170.802;147.952;216.514;20886.6;13160.8;10838.6;62.2416;30.1761;76.1117;1281.39;598.435;353.915;414.144;4345.95;2152.29;3020.16;302.239;485.5;47.8378;13.986;58.6123;3457.54;3143.44;4250.77;945.789;1121.96;1020.44;27.5579;57.9737;33.2867;836.609;1191.19;15.5926;50.1111;18.3886;40.8633;16.9386;53.5568;117.555;214.382;154.215
7;521.253;448.389;442.522;169.055;146.12;222.772;20924.1;13130;10810.2;62.5109;30.621;78.4761;1291.99;585.07;349.362;412.071;4357.29;2165.86;3039.2;306.497;477.616;48.9387;14.4019;59.153;3477.76;3171.07;4280.22;940.225;1110.31;1019.92;27.6945;55.1317;33.8773;835.535;1184.06;15.4911;50.0094;19.5562;41.7189;18.1784;54.6372;117.864;215.937;156.656
7.16667;519.67;446.683;445.294;174.045;145.615;221.723;20909.2;13181.1;10829.2;60.5322;29.6754;80.5018;1299.84;577.54;343.412;403.629;4395.91;2186.25;3057.94;303.057;473.093;47.0255;14.0547;56.036;3494.35;3195.83;4297.18;936.344;1102.88;1014.37;26.3272;52.2849;32.3743;830.674;1184.38;16.2197;51.4468;19.5522;40.8348;16.6165;54.5025;119.901;213.8;158.261
7.33333;520.207;445.6;438.962;171.431;148.517;223.175;20978.9;13184.8;10830.3;61.8901;31.08;77.8701;1300.5;574.715;341.947;399.91;4438.02;2207.63;3059.65;308.237;477.75;48.2499;13.8913;57.3095;3524.15;3186.97;4317.58;934.724;1100.49;1014.64;28.6892;57.0285;34.0557;833.119;1181.19;14.8451;51.9593;19.048;41.7802;17.267;55.8419;118.029;216.136;156.832
7.5;522.09;447.99;435.45;175.68;149.702;222.275;21036.1;13234.3;10905.4;61.8612;30.935;77.5041;1304.26;563.52;336.237;392.461;4454.59;2226.42;3077.76;303.61;469.611;47.4395;13.9243;57.5741;3512.31;3200.7;4318.09;932.686;1093.52;1018.99;27.9863;57.2559;33.199;831.43;1179.25;15.4693;51.3353;19.6844;40.756;17.0014;56.5701;118.239;213.899;155.567
7.66667;522.056;441.901;433.631;172.266;147.982;224.171;21098.5;13255.5;10926.8;60.3107;30.4089;77.1797;1311.22;551.187;340.008;384.747;4481.43;2233.82;3099.78;305.481;477.765;47.0539;13.8637;59.1692;3535.75;3193.26;4330.36;929.213;1096.02;1010.17;27.1906;54.4245;32.5904;831.932;1176.07;15.7848;51.0413;18.1944;41.8349;16.4759;54.2677;120.459;217.626;157.89
7.83333;521.509;441.224;437.824;182.501;150.315;225.522;21167;13248.3;11019;62.2216;30.2221;79.1806;1314.08;548.022;329.363;377.067;4485.4;2251.64;3115.71;302.546;476.341;46.5315;13.9979;58.4147;3538.86;3201.52;4321.39;927.766;1091.33;1004.58;26.9387;53.6606;33.0351;815.443;1177.78;15.1637;51.9771;19.4643;41.3005;16.0172;56.3196;119.88;218.723;155.774
8;526.722;443.954;433.385;177.256;152.372;224.044;21229.5;13273.7;11063.5;62.2262;30.6844;76.836;1314.03;543.565;332.323;375.941;4487.86;2269.82;3131.68;306.003;472.358;46.0872;13.9866;57.6851;3529.35;3185.44;4321.07;927.429;1077.73;999.87;28.1883;55.3577;32.996;824.884;1162.25;16.0133;51.4633;19.4222;42.5897;17.1932;56.5439;118.126;217.496;155.416
8.16667;531.219;446.934;437.409;180.319;151.167;227.409;21291.1;13361.1;11136.3;61.7676;31.4081;76.314;1316.07;538.955;330.178;367.591;4519.51;2291.83;3153.04;302.802;468.11;47.262;13.9865;59.6902;3544.26;3186.97;4333.33;913.555;1082.77;989.551;27.3104;55.5019;32.0141;828.609;1161.64;15.706;51.8252;19.2202;41.257;16.245;53.9161;119.256;221.06;157.676
8.33333;525.525;448.347;434.099;184.041;153.496;234.503;21351.5;13424.7;11244.8;60.1244;31.5539;77.9234;1312.79;533.648;330.66;369.484;4524.46;2295.28;3165.75;298.254;465.421;45.7514;14.152;59.1779;3524.55;3173.15;4308.92;907.448;1063.66;980.094;27.1979;56.4164;32.6628;826.524;1153.68;15.8879;51.2388;18.9605;40.696;16.6479;54.0782;119.124;222.185;157.392
8.5;537.422;446.081;428.874;185.494;152.474;231.86;21468.5;13467.1;11293.6;59.6679;31.5058;77.7641;1306.35;532.131;323.497;368.688;4527.95;2325.93;3190.05;303.086;467.272;48.1501;13.3403;59.3599;3513.26;3158.7;4278.37;901.101;1053.57;974.768;26.6411;55.0846;33.4602;824.704;1156.76;16.2074;49.5265;19.3247;41.558;16.6366;54.3116;117.234;220.491;153.874
8.66667;542.292;448.301;431.714;182.091;154.364;235.017;21516.1;13521.3;11350.4;61.8907;30.307;76.8549;1294.03;532.966;318.943;359.243;4539.39;2341.13;3200.67;300.527;459.746;46.8459;14.1503;59.6459;3495.55;3145.94;4275.94;895.872;1049.7;969.361;26.2851;54.3245;32.7557;818.321;1146.59;14.5209;52.7152;19.1853;40.8169;17.2262;55.4234;119.643;218.632;154.912
8.83333;538.172;442.711;431.975;187.244;158.686;238.069;21619;13588.3;11426;60.717;30.5828;77.6829;1297.07;532.936;324.645;358.48;4546.4;2356.75;3230.59;299.629;462.653;47.0279;13.9842;60.9954;3497.51;3116.7;4236.05;886.12;1038.54;956.616;27.7541;54.3673;33.4832;818.496;1143.41;15.6987;50.7146;19.8963;39.7501;17.0559;55.2519;123.442;219.321;155.756
9;534.063;443.862;434.543;188.285;160.026;235.371;21726.8;13647.4;11563.8;59.9391;31.0256;78.7435;1288.18;529.897;321.994;354.862;4576.41;2376.8;3260.3;299.146;459.342;49.0957;14.4019;58.0446;3464.49;3100.05;4201.2;878.409;1027.83;950.231;28.1238;52.753;31.3598;815.446;1137.14;16.0261;53.2165;18.9229;41.7309;16.4045;55.2553;118.286;220.413;157.563
9.16667;532.301;442.96;438.688;188.087;161.555;238.56;21795.4;13712.6;11618.2;62.1818;30.1737;76.8461;1286.43;522.307;322.77;355.791;4605.27;2384.03;3273.57;296.237;461.222;48.9065;14.2588;59.5005;3443.2;3058.82;4177.12;868.055;1014.67;933.336;26.6914;53.8638;31.3329;814.658;1143.34;15.9096;52.3168;19.2933;41.7592;17.1885;54.4925;118.055;216.576;155.88
9.33333;535.805;446.757;433.725;186.592;159.907;244.509;21846.7;13791.6;11728.2;60.4023;30.8649;77.5172;1263.11;524.79;322.188;358.22;4595.23;2418.52;3301.93;296.824;455.094;47.8644;14.2975;58.7057;3411.04;3032.45;4139.09;853.311;1001.6;922.255;27.3577;53.602;32.145;814.089;1136.68;15.1681;52.7091;19.3648;40.2604;17.7443;55.3741;121.072;219.628;156.689
9.5;535.492;452.143;439.026;192.391;162.62;240.108;22012.6;13885.1;11788.3;61.2129;30.514;78.9489;1253.91;530.701;320.755;359.321;4636.95;2418.67;3330.58;292.356;459.565;47.5271;15.0461;57.2881;3373.26;3003.57;4103.09;843.621;990.546;908.689;25.558;54.3575;32.0521;812.867;1135.62;15.4947;50.5294;19.5685;40.1269;16.0926;55.2671;115.739;216.583;158.125
9.66667;533.585;448.854;438.982;190.189;161.756;245.266;22034.5;13938.7;11859.6;60.5489;30.8575;76.0487;1235.66;534.722;324.671;362.968;4654.58;2452.33;3346.44;294.581;456.17;47.6149;14.8629;58.5684;3342.1;2962.46;4071.94;832.541;971.132;897.987;26.3677;53.8368;31.4068;803.632;1131.43;15.7087;51.8231;19.7149;40.2142;18.0935;55.373;118.388;215.541;155.149
9.83333;527.514;443.941;443.043;194.087;163.706;248.687;22128.7;14021;11956.2;63.5176;30.7556;74.5175;1212.24;536.933;331.157;365.176;4641.1;2476.47;3375.28;292.255;453.981;47.5789;14.6766;59.4265;3308.94;2930.63;4018.3;826.61;960.131;883.031;26.7411;55.4421;31.919;810.182;1124.28;16.3339;49.9495;20.6193;42.3344;17.0122;54.019;116.86;216.154;153.664
