Time;20230815_CHP212_BMAL1_1;20230815_CHP212_BMAL1_2;20230815_CHP212_BMAL1_3;20230815_IMR5_BMAL1_1;20230815_IMR5_BMAL1_2;20230815_IMR5_BMAL1_3;20230815_Lan5_BMAL1_1;20230815_Lan5_BMAL1_2;20230815_Lan5_BMAL1_3;20230815_NGP_BMAL1_1;20230815_NGP_BMAL1_2;20230815_SKNBE_BMAL1_1;20230815_SKNBE_BMAL1_2;20230815_SKNBE_BMAL1_3;20230815_SKNSH_BMAL1_1;20230815_SKNSH_BMAL1_2;20230815_SKNSH_BMAL1_3;20230808_CHP212_BMAL1_1;20230808_CHP212_BMAL1_2;20230808_CHP212_BMAL1_3;20230808_Lan5_BMAL1_1;20230808_Lan5_BMAL1_2;20230808_Lan5_BMAL1_3;20230808_NGP_BMAL1_1;20230808_NGP_BMAL1_2;20230808_NGP_BMAL1_3;20230808_SKNAS_BMAL1_1;20230808_SKNAS_BMAL1_2;20230808_SKNAS_BMAL1_3;20230808_SKNBE_BMAL1_1;20230808_SKNBE_BMAL1_2;20230808_SKNBE_BMAL1_3;20230808_SKNSH_BMAL1_1;20230808_SKNSH_BMAL1_2;20230808_SKNSH_BMAL1_3;20220705_GIMEN_BMAL1_1;20220705_GIMEN_BMAL1_2;20220705_GIMEN_BMAL1_3;20220705_Kelly_BMAL1_1;20220705_Kelly_BMAL1_2;20220705_Kelly_BMAL1_3;20220705_SY5Y_BMAL1_1;20220705_SY5Y_BMAL1_2;20220705_SY5Y_BMAL1_3;20220628_Kelly_BMAL1_1;20220628_Kelly_BMAL1_2;20220628_Kelly_BMAL1_3;20210601_CHP212_BMAL1_1;20210601_CHP212_BMAL1_2;20210601_CHP212_BMAL1_3;20210601_SY5Y_BMAL1_1;20210601_SY5Y_BMAL1_2;20210601_SY5Y_BMAL1_3;20210309_IMR5_BMAL1_1;20210309_IMR5_BMAL1_2;20210309_IMR5_BMAL1_3;20210309_SKNAS_BMAL1_1;20210309_SKNAS_BMAL1_2;20210309_SKNAS_BMAL1_3
1.66667;14.8836;39.9154;12.5335;124.307;173.851;96.165;3175.86;3491.94;3318.93;3464.97;3301;14794.9;18033;16199.9;125.732;72.5277;108.918;15.1254;42.0425;13.3561;3165.94;3455.94;1984.82;421.239;398.713;412.916;128.784;71.6899;92.1192;3475.2;5923.08;3431.16;176.375;270.177;185.892;309.562;250.166;342.061;519.311;330.681;449.295;177.266;123.017;157.811;643.1;389.51;427.479;11.3077;33.413;13.4925;27.3988;58.5539;22.6928;227.688;180.311;254.602;164.581;193.861;146.102
1.83333;15.2015;39.3549;12.2541;118.56;170.478;92.6471;3080.51;3376.83;3220.25;3435.95;3290.36;14593.7;17825.8;16018.8;120.532;72.8523;106.576;15.8813;41.6286;12.586;3055.13;3351.89;1900.82;397.842;383.392;396.172;126.777;70.0061;89.1893;3371.33;5801.25;3341.37;173.009;264.149;180.434;302.556;234.665;323.058;512.379;333.314;442.254;173.833;117.86;150.919;634.816;387.621;431.852;11.0624;35.6546;13.9556;27.6077;59.8878;22.8717;211.717;164.058;234.734;152.073;185.815;135.582
2;15.192;40.0186;11.9998;114.757;165.929;89.6352;2968.7;3258.83;3110.25;3411.89;3260.91;14440.1;17663;15796.2;118.735;69.6463;103.435;15.6751;42.825;12.7288;2938.08;3240.78;1834.58;377.01;372.481;385.878;127.62;70.3455;89.26;3287.58;5678.84;3250.95;170.499;261.05;175.8;282.174;218.049;311.395;506.703;325.308;435.798;168.999;115.459;149.497;624.404;379.632;424.955;11.3725;35.8111;14.295;27.504;58.8371;23.2759;203.253;153.871;222.56;147.813;175.336;126.423
2.16667;15.8484;40.1682;13.1199;110.937;157.36;88.406;2884.06;3174.52;3015.79;3388.19;3229.02;14272.7;17544.2;15668.1;116.966;70.2884;105.225;16.1915;42.265;12.5934;2842.43;3113;1766.38;362.255;352.802;374.197;127.029;68.4086;88.0819;3208.12;5568.07;3183.83;164.652;257.017;171.293;269.071;208.542;290.045;508.364;330.477;426.619;165.545;111.371;147.215;608.138;372.587;422.077;12.0373;35.7987;14.7046;26.4838;60.4907;22.3394;187.751;142.799;209.667;140.796;173.153;120.977
2.33333;17.1712;40.576;13.2779;106.909;157.669;90.0202;2789.25;3065.03;2939.96;3357.95;3197.29;14123.6;17430.2;15512.5;113.889;68.4289;105.547;15.7847;42.2386;12.6742;2752.18;3013.31;1703.17;351.83;348.738;359.191;121.55;68.5895;87.6541;3140.36;5464.53;3124.22;158.749;253.062;167.794;252.894;195.254;274.778;507.147;327.717;423.459;161.04;110.631;144.633;590.535;371.037;411.993;12.0766;37.6281;14.0802;25.8835;67.3459;24.6564;181.395;134.448;198.804;135.041;168.603;115.69
2.5;15.4503;42.6183;12.8075;103.377;160.361;90.8299;2710.01;2964.09;2828.79;3322.72;3153.18;14004.1;17331.5;15350.9;116.637;66.9558;103.687;16.5447;43.9728;12.6518;2659.26;2921.55;1646.57;346.333;339.947;348.884;126.174;68.1142;88.6506;3091.99;5352.84;3067.66;155.478;249.448;163.821;241.854;183.988;260.25;506.13;330.381;422.719;155.335;104.699;141.598;566.289;355.882;408.508;12.2852;35.2337;14.1385;27.4657;61.3966;23.8845;175.528;130.148;190.416;135.677;162.697;111.628
2.66667;16.4885;42.4916;13.7622;98.211;161.112;92.6805;2653.42;2886.5;2768.03;3288.39;3125.77;13879.4;17343.3;15272.9;115.671;68.7061;103.676;15.8663;43.678;13.6288;2575.86;2811.31;1598.2;334.257;331.84;345.272;125.515;70.3596;87.8376;3035.85;5272.8;3022.31;147.706;242.337;157.56;231.47;173.355;250.44;493.797;324.702;423.603;158.048;104.232;139.08;556.668;351.501;399.827;11.3889;36.7327;14.8588;26.5066;65.223;22.8665;168.07;125.782;185.842;128.171;163.331;111.849
2.83333;15.2507;44.1859;13.3353;96.5493;158.924;92.6876;2573.89;2804.71;2684.66;3279.95;3081.48;13829.2;17243.6;15187.5;113.221;68.1218;102.254;16.071;42.9851;12.7495;2505.11;2724.98;1546.15;333.28;324.363;341.167;125.065;66.7305;90.3324;2979.85;5159.66;2990.38;148.011;238.399;156.242;219.526;162.649;240.728;496.17;321.287;412.643;150.515;104.455;138.893;538.508;348.359;390.804;11.1879;37.0627;13.9777;27.3331;66.8509;23.3314;165.715;120.277;181.08;128.094;159.558;108.904
3;17.647;42.7484;12.8289;92.3486;160.199;95.9677;2502.35;2718.29;2605.06;3243.34;3050.21;13776.5;17234.1;15109.7;113.807;67.8986;102.961;16.6546;43.049;13.6779;2444.28;2648.26;1509.13;322.48;322.421;331.437;126.931;67.9419;88.4004;2948.03;5109.96;2961.47;144.866;231.452;155.92;212.407;155.237;227.01;499.013;322.38;407.891;148.162;100.084;136.159;529.462;336.249;382.588;11.2842;36.1656;14.4305;26.4498;65.4922;22.3085;163.255;117.364;178.333;127.104;156.81;107.015
3.16667;17.6258;44.9013;13.9121;92.5458;162.386;95.6268;2444.31;2655.37;2556.33;3202.27;3036.24;13718.1;17276.4;15054.4;113.363;66.3899;101.613;16.3202;44.9991;12.8966;2374.84;2556.39;1482.37;328.703;319.256;335.387;129.543;69.0782;89.9106;2916.57;5047.26;2944.62;142.969;231.881;150.999;200.905;149.084;218.149;485.277;319.339;402.522;150.49;99.6381;134.66;510.311;327.551;377.67;11.7461;37.6241;14.5599;25.2719;64.5556;23.1226;160.473;115.758;175.076;128.525;159.019;106.07
3.33333;17.2544;44.2516;13.2492;94.407;157.935;92.3573;2376.49;2598.3;2495.23;3193.34;3006.91;13702.4;17290.6;14960.6;112.776;66.4963;104.536;16.2996;44.8746;13.6121;2323.36;2495.26;1448.39;326.644;319.657;340.883;123.449;69.3059;89.0172;2888.21;4970.85;2922.79;143.818;229.285;152.89;190.027;141.548;201.895;483.313;320.183;398.68;147.768;98.7772;133.348;497.981;322.054;370.723;12.0675;37.0392;14.6964;27.3194;65.1188;22.6315;158.316;113.572;174.921;126.717;161.049;104.387
3.5;17.5451;43.9369;13.1189;88.4813;160.166;94.0615;2321.55;2525.37;2444.75;3175.44;2978.22;13646.9;17280.3;14894.8;117.725;67.362;104.827;17.3193;46.5214;13.4108;2270.44;2425.69;1431.59;328.887;324.222;342.836;126.433;69.7884;91.927;2870.84;4934.43;2932.46;142.31;230.332;151.568;184.204;133.611;196.664;478.275;312.399;392.421;142.599;97.9647;134.851;485.49;314.637;364.363;11.4952;37.9342;15.6394;26.3067;61.5198;22.7076;155.259;113.148;168.03;126.009;155.437;104.691
3.66667;18.0656;44.5355;14.6094;88.1669;156.854;92.9773;2285.21;2498.48;2391.11;3160.34;2963.82;13610.7;17313.2;14839.3;112.181;65.9154;103.575;16.1098;46.6049;13.3668;2238.46;2356.42;1405.21;335.64;336.622;349.438;130.461;71.8969;91.8548;2846.47;4877.64;2919.43;138.905;229.613;149.853;180.721;128.743;191.568;477.01;311.538;392.892;144.887;95.9926;133.935;477.618;305.671;361.132;11.4476;37.7748;13.8551;25.742;61.2101;23.6642;159.456;110.962;169.847;125.349;159.253;103.788
3.83333;17.6459;45.4592;14.3373;88.7657;156.89;94.3667;2250.29;2461.73;2362.96;3163.72;2952.19;13612.4;17321.1;14810;112.53;68.4778;105.665;17.0547;44.9358;14.8775;2190.23;2321.46;1390.71;340.737;339.935;352.933;131.571;71.3581;93.5792;2822.55;4863.19;2926.06;140.338;227.211;149.355;174.943;122.72;187.963;468.112;309.407;384.898;145.992;95.6448;133.151;468.54;303.12;356.447;11.894;38.3474;14.7169;25.7713;62.2117;22.9142;151.819;110.227;165.888;125.578;153.781;105.615
4;18.9249;46.591;15.3956;87.9961;156.696;93.6218;2208.59;2405.46;2341.81;3148.52;2968.75;13590.2;17382.9;14763.6;113.26;67.2816;107.438;18.5177;45.5166;13.7104;2162.13;2278.56;1369.68;352.473;347.298;364.265;136.04;74.3781;97.4001;2817.02;4791.21;2936.68;143.532;231.659;150.177;171.368;119.882;183.656;467.79;306.727;387.867;144.189;96.1422;131.55;455.706;296.428;356.05;12.306;36.2947;14.943;26.7962;67.7761;22.3951;154.601;109.908;164.517;126.543;155.029;103.793
4.16667;18.5896;45.6148;14.8106;86.6633;156.249;95.4325;2191.49;2385.78;2299.58;3162.45;2941.85;13557;17353.6;14769.8;113.348;70.0525;103.823;18.5916;45.6584;14.2845;2134.82;2214.05;1362.26;366.554;358.048;370.123;143.541;74.4222;99.2369;2811.83;4757.15;2989.37;142.31;230.516;152.272;167.221;115.427;176.069;467.383;304.392;382.889;142.309;99.0792;132.456;453.329;297.348;350.83;12.0655;37.8906;15.0368;26.3477;64.5157;23.1282;153.91;110.643;164.456;127.351;152.973;102.515
4.33333;18.9775;45.2835;14.0988;86.1295;159.189;94.221;2180.73;2382.26;2278.79;3177.56;2958.51;13562.8;17368.9;14712.1;117.647;68.7634;105.233;18.7039;45.3155;13.3786;2114.83;2203.32;1355.06;378.92;370.553;384.23;149.47;77.934;98.5599;2799.16;4701.71;3041.11;143.481;231.836;154.284;160.987;114.187;176.72;461.188;300.995;378.508;143.552;95.1735;132.484;446.919;297.991;350.37;11.6919;37.0786;14.5592;25.773;65.9632;22.8309;151.444;107.879;162.05;127.948;156.76;104.466
4.5;19.0012;46.303;14.6353;87.2344;160.429;94.3993;2156.37;2356.25;2270.32;3188.67;2971.23;13563.5;17394.9;14627.7;115.816;68.3947;104.759;18.2572;47.9993;14.1968;2106.85;2165.89;1350.08;390.154;382.933;390.27;155.812;77.655;103.658;2784.46;4664.98;3053.59;145.601;234.602;154.814;158.99;110.248;175.098;456.681;295.428;379.205;144.407;97.1948;135.816;441.716;291.537;346.238;12.0932;40.5581;14.2202;25.6817;68.8944;22.6069;148.858;108.329;159.915;125.719;152.265;103.942
4.66667;19.2277;46.444;15.4083;88.7622;157.863;91.9236;2160.97;2348.11;2258.44;3192.73;2968.61;13560.7;17361.6;14608.8;116.75;69.7479;106.82;18.8394;47.1679;13.774;2088.89;2136.7;1341.17;405.512;394.345;407.311;156.44;79.8044;104.354;2788.24;4630.83;3089.1;146.534;236.938;156.622;162.224;109.329;169.54;446.329;296.494;378.061;142.843;97.5504;134.361;432.599;288.92;341.685;11.8994;37.4189;14.863;27.5419;66.4372;22.0912;149.612;105.469;157.842;125.726;152.223;104.106
4.83333;19.7565;46.7339;15.0789;87.1974;157.133;94.2689;2140.83;2327.42;2256.48;3214.63;2978.91;13555.5;17373.4;14532;117.395;70.4211;108.304;19.8745;46.1605;13.424;2086.7;2117.64;1337.55;426.955;413.402;425.359;156.768;81.9241;109.74;2776.22;4582.51;3108.13;151.095;236.158;159.428;155.218;107.247;170.803;449.831;293.938;371.639;147.228;98.9989;132.5;431.628;289.312;343.277;11.4178;36.5197;15.4489;26.9837;68.4248;23.0711;149.256;104.16;156.503;124.139;155.864;103.807
5;18.9506;49.1929;15.5407;86.9862;159.265;94.5462;2135.12;2311.55;2261.31;3250.58;3018.95;13530.5;17392.2;14463;117.094;72.8169;106.3;17.8255;49.5371;14.5331;2066.28;2085.14;1353.51;436.384;422.897;438.634;159.237;84.3463;112.162;2775.1;4532.15;3118.71;151.232;246.291;161.743;155.186;108.153;169.554;446.918;293.123;374.044;147.554;97.2851;133.698;430.628;285.663;347.488;11.7639;37.6415;14.712;27.6462;68.9392;23.0843;149.161;101.949;154.483;126.504;149.802;102.685
5.16667;19.4731;47.9376;15.9062;86.3392;157.652;95.1317;2138.22;2339.27;2252.02;3272.45;3028.89;13535.2;17368.3;14405;121.832;72.3444;110.814;19.3233;48.7405;15.5543;2064.83;2071.29;1354.82;458.549;445.605;454.776;165.295;83.4663;117.088;2775.14;4516.47;3142.9;154.144;242.728;166.756;153.895;106.025;170.367;447.47;292.134;372.354;145.261;99.4816;134.948;420.673;288.386;345.547;12.0806;37.2764;14.0031;28.1198;65.1986;23.616;148.117;102.865;154.932;125.135;154.686;101.485
5.33333;19.4852;45.4671;15.5389;89.2953;156.792;94.4144;2143.78;2319.45;2245.78;3295.82;3054.33;13526.7;17392.2;14341.6;120.384;72.4776;109.655;19.4109;48.1235;14.482;2064.44;2067.24;1350.52;476.001;458.501;466.469;168.533;82.7893;120.382;2774.32;4488.44;3162.35;156.367;249.104;165.791;159.466;107.511;171.042;446.093;286.585;365.517;142.241;98.9491;134.964;419.554;287.9;348.383;11.765;39.2938;15.2448;26.685;64.7581;23.2897;145.836;103.694;156.023;126.686;157.113;103.468
5.5;18.6052;46.8841;15.7708;85.3733;154.515;93.7359;2143.51;2327.64;2267.7;3331.66;3089.06;13470.1;17366.1;14273.2;118.323;73.7461;110.987;17.8097;46.781;14.9793;2055.42;2037.72;1350.69;496.259;478.842;488.459;167.817;83.6322;124.563;2765.6;4464.66;3180.65;160.896;254.643;171.221;156.653;107.06;169.769;440.34;285.441;363.643;145.539;101.45;137.141;417.433;290.525;345.046;11.7481;38.7576;14.5222;27.5064;67.6166;24.4229;148.685;101.77;154.8;127.91;152.152;100.57
5.66667;20.1686;46.5757;16.1929;85.8853;154.471;92.6243;2151.64;2328.06;2257.6;3367.74;3117.4;13445.3;17365.1;14260.1;122.196;74.243;111.985;18.8936;47.9058;14.4592;2063.88;2030.61;1358.53;505.47;489.044;507.751;166.853;86.9263;127.672;2764.99;4445.17;3198.13;164.216;256.018;172.472;161.897;108.141;175.442;437.391;286.649;368.134;148.99;101.749;138.133;420.12;288.972;346.836;11.9176;38.4249;14.479;29.0121;63.1117;24.2899;148.127;102.138;152.919;126.902;152.006;103.47
5.83333;18.979;47.8318;15.5718;85.7043;155.307;93.2222;2163.05;2335.47;2268.56;3394.63;3152.37;13416;17357;14168.5;121.734;77.6121;114.156;18.7652;48.8092;14.2082;2057.07;2033.72;1358.03;520.807;507.875;513.942;165.789;86.4863;128.539;2758.83;4422.62;3218.48;165.813;258.147;176.042;163.759;112.194;174.645;441.307;286.731;366.304;148.875;101.416;136.736;414.71;291.331;346.627;12.4239;38.4527;14.5003;28.1961;68.0951;23.5761;147.474;100.095;151.71;129.365;153.919;102.861
