Time,20210309_SKNAS_PER2_1,20210309_SKNAS_PER2_2,20210309_SKNAS_PER2_3,20220614_GIMEN_PER2_1,20220614_GIMEN_PER2_2,20220614_GIMEN_PER2_3,20230815_CLBGA_PER2_1,20230815_CLBGA_PER2_2,20230815_CLBGA_PER2_3,20230815_IMR5_PER2_1,20230815_IMR5_PER2_2,20230815_IMR5_PER2_3,20230815_NGP_PER2_1,20230815_NGP_PER2_2,20230815_NGP_PER2_3,20230815_SKNSH_PER2_1,20230808_CLBGA_PER2_1,20230808_CLBGA_PER2_2,20230808_CLBGA_PER2_3,20230808_NGP_PER2_1,20230808_NGP_PER2_2,20230808_NGP_PER2_3,20230808_SKNAS_PER2_1,20230808_SKNAS_PER2_2,20230808_SKNSH_PER2_1,20230808_SKNSH_PER2_2,20230808_SKNSH_PER2_3,20220705_GIMEN_PER2_1,20220705_GIMEN_PER2_2,20220705_GIMEN_PER2_3,20220705_Kelly_PER2_1,20220705_Kelly_PER2_2,20220705_Kelly_PER2_3,20220705_SY5Y_PER2_1,20220705_SY5Y_PER2_2,20220628_Kelly_PER2_1,20220628_Kelly_PER2_2,20220628_Kelly_PER2_3,20210601_SY5Y_PER2_1,20210601_SY5Y_PER2_2,20210601_SY5Y_PER2_3,20210309_IMR5_PER2_1,20210309_IMR5_PER2_2,20210309_IMR5_PER2_3,20250617_SKNBE2_PER2_1,20250617_SKNBE2_PER2_2,20250617_SKNBE2_PER2_3
1.66667,70.918,30.9513,64.7996,404.663,363.739,292.923,1050.23,950.675,867.368,203.934,178.184,266.632,37397.8,21504.7,18220.8,1431.71,1239.38,858.317,851.67,5899.54,3161.88,4497.58,360.178,553.702,4892.08,4943.37,6245.65,1918.39,2358.28,2196.43,33.118,58.6169,42.8625,1704.31,2434.52,13.4438,43.4387,16.5337,39.9297,17.9424,51.8254,164.063,292.81,230.383,5715.69,5234.04,4952.47
1.83333,67.4104,28.7814,66.7656,395.936,356.962,298.989,1019.51,919.219,841.319,199.286,172.268,257.595,35810.8,20679.8,17539.7,1359.82,1182.33,827.136,813.432,5618.48,2998.55,4250.71,341.467,541.872,4550.44,4633.32,5855.47,1822.44,2228.95,2098.23,31.4568,57.2265,39.1324,1577.65,2256.7,14.0104,43.7814,17.5853,40.1799,18.5912,52.4442,154.199,278.863,218.518,5478.67,5039.64,4747.21
2,63.9945,27.4541,64.8704,395.316,360.011,293.372,990.271,902.048,822.504,194.598,164.982,247.358,34547.8,19887.4,16825,1285.73,1147.87,789.338,794.2,5354.7,2853.14,4067.33,329.744,520.253,4283.49,4322.39,5449.12,1736.34,2124.16,2002.45,31.2991,56.3957,38.1752,1468.65,2109.99,13.9041,47.0698,17.4414,41.1125,18.1037,51.4965,148.921,272.464,208.923,5226.21,4819.56,4533.71
2.16667,62.5639,25.7731,63.0928,392.866,359.51,291.879,958.286,862.352,820.486,187.867,160.498,236.772,33108.9,19160.5,16173.5,1233.5,1109.11,763.641,761.023,5080.12,2721.71,3890.54,319.908,505.309,4020.28,4022.99,5077.34,1641.78,2022.47,1899.07,29.4482,55.3236,37.2613,1375.43,1983.02,14.8516,45.3154,17.377,39.4718,18.6174,54.0513,144.873,264.756,205.177,5042.29,4620.28,4355.75
2.33333,61.6496,25.7098,63.8583,385.26,351.627,291.965,930.015,830.109,814.538,180.705,154.688,230.487,31862.8,18545.7,15646.2,1167.23,1074.54,735.515,739.207,4893.42,2608.17,3705.71,310.393,489.946,3788.29,3743.06,4734.55,1568.97,1925.29,1818.08,28.7739,53.26,35.2687,1289.38,1867.18,14.3676,45.5444,18.0623,42.2407,18.2661,56.2548,140.83,261.336,201.536,4903.17,4437.72,4160.64
2.5,59.6694,26.0719,61.7156,383.784,352.285,284.63,901.03,813.417,807.474,175.73,151.19,222.617,30776,17993.6,15051.6,1121.23,1037.4,705.373,725.812,4702.37,2497.56,3584.89,306.405,481.738,3581.75,3509.7,4442.6,1500.32,1829.06,1744.68,27.6658,54.3915,34.7583,1238.83,1770.41,14.0821,46.522,17.0733,41.839,18.6799,58.7277,140.092,258.357,195.871,4659.37,4271.76,3993.69
2.66667,58.1989,23.2357,58.9424,377.653,342.639,283.788,873.619,782.743,799.042,173.1,144.792,218.074,29589.8,17415.3,14580,1082.55,1007.89,678.416,695.447,4564.23,2413.87,3457.1,298.173,469.551,3394.13,3296.31,4174.84,1439.18,1767.53,1659.36,27.775,53.424,32.8237,1179.81,1699.52,14.736,47.0903,17.2811,41.1495,18.6835,58.0832,134.615,255.723,191.958,4502.52,4135.29,3883.67
2.83333,56.0593,23.1918,59.9971,372.757,337.099,278.596,841.95,756.641,789.484,165.441,139.562,213.332,28591.8,16945.6,14142.2,1053.09,979.771,658.784,675.967,4431.05,2335.72,3360.85,291.369,464.059,3230.18,3124.11,3965.84,1359.8,1682.41,1594,27.5166,52.6581,33.581,1134.39,1647.05,14.9533,47.4683,17.5325,40.695,18.1857,57.4752,135.501,247.817,186.372,4361.91,3986.52,3745.46
3,56.1425,22.5726,59.483,368.983,335.258,273.307,823.546,726.688,779.873,165.322,137.018,210.462,27800.2,16477.4,13698.3,1037.26,941.967,628.523,665.414,4277.66,2276.11,3268.17,287.328,457.599,3092.33,2952.07,3757.34,1306.68,1613.31,1519.66,27.057,54.321,34.5275,1096.73,1573.81,14.7824,48.8935,17.4348,40.9128,17.4235,59.5363,131.135,247.046,184.45,4341.74,3889.99,3638.36
3.16667,54.6925,22.3151,58.5298,362.291,331.393,264.597,793.246,703.72,759.933,164.695,135.212,205.31,26856,15991.8,13366.1,1018.56,916.536,608.383,639.717,4188.5,2216.79,3201.49,281.468,450.772,2972.99,2822.57,3631.53,1260.04,1538.34,1461.98,26.9293,55.4116,32.7713,1066.22,1534.18,14.3366,50.7402,19.0509,41.4209,17.1074,58.4463,127.713,243.461,180.973,4320.41,3792.78,3538.42
3.33333,55.4451,22.0544,58.5438,359.227,326.606,262.731,775.017,677.229,745.356,161.105,133.148,203.771,26131.4,15630.7,13045.1,1012.43,893.772,590.472,623.81,4096.1,2162.23,3123.85,278.661,447.002,2895.08,2746.82,3521.25,1227.29,1487.85,1418.53,26.8371,52.4761,33.2589,1038.54,1503.31,15.6878,49.4499,17.5471,42.4913,17.1713,59.0839,126.72,238.701,179.937,4128.07,3705.75,3459.04
3.5,53.851,20.6791,59.1795,356.439,331.935,265.775,748.241,655.717,717.354,158.328,131.524,199.864,25547,15272.8,12728.8,1004.74,858.883,564.633,603.161,4038.28,2123.02,3074.57,280.01,441.032,2833.52,2660.23,3452.38,1172.31,1435.9,1362.07,27.4958,54.0198,32.8368,1009.09,1454.12,14.9594,49.7908,19.1307,39.985,18.3003,54.5295,124.497,237.394,175.35,4083.92,3628.06,3371.05
3.66667,53.5596,21.5731,56.4448,345.537,322.885,256.225,721.417,634.648,692.212,156.166,129.247,199.8,24871.5,14980.6,12462.5,1009.08,843.319,551.966,597.517,3975.44,2097.67,3027.11,275.141,439.179,2780.84,2618.21,3407.36,1131.78,1387.73,1312.2,27.9486,53.3414,34.0896,988.447,1421.5,15.5953,49.1993,18.7152,42.5014,17.4954,54.1741,119.967,229.699,172.986,3943.1,3585.69,3331.73
3.83333,53.6914,20.9306,56.8002,348.219,326.375,253.646,705.741,614.817,659.598,156.115,131.109,198.117,24349.4,14700.3,12248.5,1019.68,826.326,539.351,584.65,3929.82,2080.15,2993.71,274.349,438.104,2777.61,2583.82,3400.92,1106.77,1343.67,1270.27,27.1829,52.8074,34.3172,974.047,1397.82,14.9456,52.4348,18.2443,42.6228,18.0137,53.8275,121.548,227.867,168.62,3925.43,3523.14,3278.42
4,54.2897,20.6961,59.2568,345.972,317.161,249.066,684.918,596.92,641.711,154.293,131.621,194.157,23924.1,14477.6,12021.4,1026.7,801.793,513.605,602.412,3907.11,2057.55,2960.99,273.582,434.858,2781.99,2586.89,3403.29,1077.11,1305.26,1235.53,28.0582,55.2736,33.8014,956.366,1367.06,14.9844,51.2288,18.5858,41.8346,17.5224,57.8929,118.849,225.041,166.765,3842.87,3480.38,3245.28
4.16667,54.0474,20.976,58.0707,337.528,318.173,252.401,662.578,573.457,619.825,155.661,130.673,194.365,23390.6,14272.3,11850.2,1031.76,788.732,501.43,613.858,3855.72,2037.72,2932.99,269.951,439.674,2791.62,2599.65,3427.43,1052.17,1277.85,1201.11,27.4693,56.1508,33.1931,935.979,1346.9,16.3849,50.0773,19.5363,41.4342,17.5944,58.9329,118.259,224.793,165.769,3790.19,3474.28,3227.56
4.33333,52.4502,19.9014,58.3732,337.359,313.891,252.796,648.062,559.16,601.468,153.707,131.61,194.787,22970.2,14093.7,11698.4,1048.86,801.618,489.819,610.147,3844.67,2035.21,2923.3,275.869,441.988,2800.9,2614.08,3460.52,1033.64,1250.24,1181.24,28.922,55.4364,33.9533,924.597,1322.77,15.4083,50.9364,17.5279,42.2216,17.8767,58.6634,116.074,220.407,162.957,3839.08,3442.97,3192.09
4.5,53.6329,20.0813,57.4747,332.017,317.264,247.265,634.272,543.233,582.132,153.277,132.124,192.837,22642.9,13915.5,11545,1062.59,816.395,476.51,604.228,3818.46,2019.86,2907.69,277.414,439.424,2836.37,2642.1,3518.11,1020.58,1225.12,1151.26,28.116,54.4524,34.9775,913.251,1300.75,15.8176,50.0563,19.0773,40.9299,16.5326,58.8914,117.43,223.175,159.41,3853.56,3439.97,3197.92
4.66667,53.8776,21.3588,58.665,327.905,311.732,243.139,618.007,528.642,560.868,150.013,134.863,194.518,22284.8,13792.8,11404.6,1083.91,817.872,462.718,588.661,3833.21,2003.34,2898.14,282.356,446.277,2881.11,2677.51,3552.54,1000.69,1210.05,1124.56,28.3786,56.094,33.9664,905.157,1290.09,15.2496,50.0506,18.5681,40.8013,16.7602,57.2891,114.944,225.09,160.406,3756.68,3411.66,3162.43
4.83333,53.6811,19.6367,59.1931,325.756,312.358,250.212,604.155,518.529,550.641,151.276,136.094,200.624,21972.1,13644.9,11323.1,1100.46,808.26,448.248,583.052,3835.8,2015.31,2900.7,280.464,447.09,2940.24,2715.26,3631.43,985.778,1189.31,1108.63,29.0371,54.0681,33.9367,898.264,1274.92,15.9233,51.3942,18.8448,42.5854,16.9899,59.7215,115.315,217.225,160.641,3788.2,3407.8,3147.7
5,53.3391,20.54,57.8973,324.219,309.655,246.598,595.554,508.075,533.226,149.431,138.963,200.426,21751.5,13547.5,11258.9,1125.01,790.258,435.659,561.703,3813.51,2010.75,2891.84,288.038,460.166,3024.67,2758.99,3700.58,970.374,1178.86,1095.16,28.4161,56.1837,33.5275,881.445,1260.53,15.7973,50.3799,18.9157,41.5737,16.925,56.8154,114.59,218.525,161.227,3772.23,3393.51,3156.24
5.16667,55.8893,20.4473,58.9142,320.926,307.596,240.486,589.692,502.168,517.672,152.204,137.606,207.357,21506.7,13431.9,11129.2,1136.13,763.563,425.489,550.506,3826.39,2023.04,2882.71,290.043,463.737,3096.19,2796.74,3762.24,974.926,1164.96,1079.72,29.1554,57.1688,34.1416,877.955,1250.68,15.7605,50.3181,18.766,40.6536,16.2131,55.8282,115.327,218.209,158.298,3859.89,3398,3146.45
5.33333,55.0457,20.2594,58.5413,317.858,312.355,240.135,572.485,487.274,504.55,153.284,140.104,208.304,21358.4,13380.7,11064.3,1163.46,745.015,414.67,532.219,3850.57,2017.85,2901.78,292.526,458.745,3171.86,2852.18,3828.15,962.348,1154.48,1064.65,28.8481,55.8444,35.2122,875.333,1234.12,16.3354,49.5504,18.7613,41.2779,16.7104,56.1135,115.698,216.275,156.831,3888.59,3372.88,3163.15
5.5,55.9399,22.8292,57.0057,318.484,306.05,241.906,561.297,483.685,496.859,152.857,142.347,211.052,21240.9,13302.4,11050.1,1172.85,730.071,404.431,510.142,3871.16,2038.43,2907.96,288.415,469.516,3213.39,2891.46,3895.39,959.948,1151.32,1060.43,28.2729,55.1856,34.9806,866.384,1235.02,14.9733,50.6622,18.5548,41.2781,16.4762,58.9507,116.509,214.551,155.038,3743.85,3366.26,3130.98
5.66667,56.0212,21.0357,58.0322,317.284,306.683,244.048,559.693,474.824,482.159,154.861,140.91,212.482,21088.3,13253.2,10968.6,1184.02,703.745,390.25,502.657,3939.42,2044.99,2920.41,299.572,463.655,3243.61,2922.72,3939.4,958.878,1147.07,1052.73,28.5867,58.354,35.1342,859.934,1225.49,15.6146,50.7037,19.076,43.4082,18.1286,56.0153,117.173,213.526,155.793,3769.57,3384.23,3137.09
5.83333,54.9671,22.4345,61.4371,317.789,310.109,237.831,549.091,467.683,478.532,154.21,144.387,213.32,20962.2,13217.6,10930,1197.17,688.938,393.45,489.727,4002.4,2064.99,2934.48,297.455,468.441,3305.32,2959.72,3992.65,954.475,1137.21,1045.29,28.9145,58.3679,34.0188,861.458,1216.06,15.4532,49.8296,20.2842,40.3041,17.7195,53.3408,117.402,216.055,155.828,3796.88,3373.63,3145.73
6,55.4507,21.8027,60.71,314.092,309.513,239.447,541.201,463.997,468.515,154.323,144.329,215.602,20963,13178.7,10936.1,1221.93,673.381,378.194,467.83,4075.52,2079.74,2939.96,300.315,476.106,3319.92,3006.52,4047.22,946.809,1131.63,1035.69,29.6211,56.0593,34.1765,847.623,1208.85,15.4267,51.9636,20.3576,41.6205,15.8384,56.5883,115.322,217.091,154.226,3726.74,3388.44,3134.91
6.16667,55.5131,21.2603,58.2056,313.709,305.757,240.926,540.588,457.33,460.706,154.697,143.799,213.923,20883.3,13169.1,10874.3,1234.11,657.627,375.687,457.532,4140.63,2089.14,2949.65,299.99,470.792,3347.83,3040.21,4093.84,946.994,1130.07,1033.55,30.9537,58.3425,34.4266,847.815,1203.86,15.7008,49.1048,19.1142,41.9425,16.143,56.4498,117.973,217.279,156.959,3925.83,3378.01,3128.71
6.33333,55.2074,21.933,60.5193,313.736,307.425,240.802,535.854,457.057,461.719,156.156,147.531,216.307,20818.5,13170.2,10868.7,1247.47,642.321,371.196,448.724,4221.88,2119.14,2961.81,301.38,476.284,3397.85,3062.71,4139.69,950.408,1126.69,1034.23,28.4713,55.7979,34.442,843.543,1197.17,15.5066,50.4027,19.5222,40.6932,16.0786,55.2737,117.084,215.874,155.273,3760.3,3372.4,3134.13
6.5,56.7432,22.284,60.6287,308.273,309.009,238.89,531.752,456.267,456.683,161.94,146.275,217.568,20860.1,13166.5,10831.5,1267.76,622.701,362.046,438.231,4262.3,2126.96,2974.98,305.311,478.51,3394.42,3114.43,4189.38,943.942,1114.78,1031.16,27.9518,56.8075,33.4873,837.775,1188.2,16.6144,51.2669,18.8214,71.5869,16.5348,55.3841,119.611,213.592,153.393,3791.73,3386.48,3151.96
6.66667,57.0314,22.2764,60.3272,313.305,308.708,239.788,523.789,455.432,449.827,167.587,144.358,219.894,20814.6,13206.3,10839.8,1275.99,611.186,360.749,430.287,4307.25,2143.48,2991.45,301.829,480.583,3434.42,3135.79,4219.71,938.777,1117.72,1029.13,27.0987,57.1165,33.2709,831.368,1176.42,14.867,51.4001,19.0552,41.3614,17.2987,53.9926,116.72,214.947,155.151,3747.55,3384.68,3130.92
6.83333,57.9825,22.9751,61.393,315.504,308.799,238.155,533.07,452.071,443.157,170.802,147.952,216.514,20886.6,13160.8,10838.6,1281.39,598.435,353.915,414.144,4345.95,2152.29,3020.16,302.239,485.5,3457.54,3143.44,4250.77,945.789,1121.96,1020.44,27.5579,57.9737,33.2867,836.609,1191.19,15.5926,50.1111,18.3886,40.8633,16.9386,53.5568,117.555,214.382,154.215,3890.4,3391.84,3149
7,57.4166,23.0662,59.3583,312.069,304.607,237.511,521.253,448.389,442.522,169.055,146.12,222.772,20924.1,13130,10810.2,1291.99,585.07,349.362,412.071,4357.29,2165.86,3039.2,306.497,477.616,3477.76,3171.07,4280.22,940.225,1110.31,1019.92,27.6945,55.1317,33.8773,835.535,1184.06,15.4911,50.0094,19.5562,41.7189,18.1784,54.6372,117.864,215.937,156.656,3788.99,3387.29,3147.52
7.16667,59.4475,24.1519,61.4427,311.362,312.899,238.55,519.67,446.683,445.294,174.045,145.615,221.723,20909.2,13181.1,10829.2,1299.84,577.54,343.412,403.629,4395.91,2186.25,3057.94,303.057,473.093,3494.35,3195.83,4297.18,936.344,1102.88,1014.37,26.3272,52.2849,32.3743,830.674,1184.38,16.2197,51.4468,19.5522,40.8348,16.6165,54.5025,119.901,213.8,158.261,3789.62,3403.39,3172.32
7.33333,58.1928,22.9741,61.7344,309.333,309,238.919,520.207,445.6,438.962,171.431,148.517,223.175,20978.9,13184.8,10830.3,1300.5,574.715,341.947,399.91,4438.02,2207.63,3059.65,308.237,477.75,3524.15,3186.97,4317.58,934.724,1100.49,1014.64,28.6892,57.0285,34.0557,833.119,1181.19,14.8451,51.9593,19.048,41.7802,17.267,55.8419,118.029,216.136,156.832,3818.6,3397.41,3159.05
7.5,60.8528,23.9279,61.4127,304.625,308.923,238.682,522.09,447.99,435.45,175.68,149.702,222.275,21036.1,13234.3,10905.4,1304.26,563.52,336.237,392.461,4454.59,2226.42,3077.76,303.61,469.611,3512.31,3200.7,4318.09,932.686,1093.52,1018.99,27.9863,57.2559,33.199,831.43,1179.25,15.4693,51.3353,19.6844,40.756,17.0014,56.5701,118.239,213.899,155.567,3882.61,3420.23,3185.28
7.66667,62.0566,23.7107,62.4388,303.603,311.559,238.108,522.056,441.901,433.631,172.266,147.982,224.171,21098.5,13255.5,10926.8,1311.22,551.187,340.008,384.747,4481.43,2233.82,3099.78,305.481,477.765,3535.75,3193.26,4330.36,929.213,1096.02,1010.17,27.1906,54.4245,32.5904,831.932,1176.07,15.7848,51.0413,18.1944,41.8349,16.4759,54.2677,120.459,217.626,157.89,3852.94,3446.33,3203.77
7.83333,61.2551,24.2365,61.7912,302.461,312.561,235.3,521.509,441.224,437.824,182.501,150.315,225.522,21167,13248.3,11019,1314.08,548.022,329.363,377.067,4485.4,2251.64,3115.71,302.546,476.341,3538.86,3201.52,4321.39,927.766,1091.33,1004.58,26.9387,53.6606,33.0351,815.443,1177.78,15.1637,51.9771,19.4643,41.3005,16.0172,56.3196,119.88,218.723,155.774,3918.5,3447.86,3226.69
8,62.7739,25.4629,62.6754,302.116,306.352,235.157,526.722,443.954,433.385,177.256,152.372,224.044,21229.5,13273.7,11063.5,1314.03,543.565,332.323,375.941,4487.86,2269.82,3131.68,306.003,472.358,3529.35,3185.44,4321.07,927.429,1077.73,999.87,28.1883,55.3577,32.996,824.884,1162.25,16.0133,51.4633,19.4222,42.5897,17.1932,56.5439,118.126,217.496,155.416,3950.94,3474.05,3251.41
8.16667,61.2798,24.7399,63.877,301.829,306.667,238.316,531.219,446.934,437.409,180.319,151.167,227.409,21291.1,13361.1,11136.3,1316.07,538.955,330.178,367.591,4519.51,2291.83,3153.04,302.802,468.11,3544.26,3186.97,4333.33,913.555,1082.77,989.551,27.3104,55.5019,32.0141,828.609,1161.64,15.706,51.8252,19.2202,41.257,16.245,53.9161,119.256,221.06,157.676,3901.48,3497.39,3251.72
8.33333,64.6313,26.0201,62.7818,299.329,308.455,232.41,525.525,448.347,434.099,184.041,153.496,234.503,21351.5,13424.7,11244.8,1312.79,533.648,330.66,369.484,4524.46,2295.28,3165.75,298.254,465.421,3524.55,3173.15,4308.92,907.448,1063.66,980.094,27.1979,56.4164,32.6628,826.524,1153.68,15.8879,51.2388,18.9605,40.696,16.6479,54.0782,119.124,222.185,157.392,3946.35,3530.53,3271.59
8.5,64.1397,27.1887,65.3888,294.567,308.867,234.904,537.422,446.081,428.874,185.494,152.474,231.86,21468.5,13467.1,11293.6,1306.35,532.131,323.497,368.688,4527.95,2325.93,3190.05,303.086,467.272,3513.26,3158.7,4278.37,901.101,1053.57,974.768,26.6411,55.0846,33.4602,824.704,1156.76,16.2074,49.5265,19.3247,41.558,16.6366,54.3116,117.234,220.491,153.874,3974.49,3534.32,3295.9
8.66667,64.9145,26.8323,65.9615,290.062,309.022,227.858,542.292,448.301,431.714,182.091,154.364,235.017,21516.1,13521.3,11350.4,1294.03,532.966,318.943,359.243,4539.39,2341.13,3200.67,300.527,459.746,3495.55,3145.94,4275.94,895.872,1049.7,969.361,26.2851,54.3245,32.7557,818.321,1146.59,14.5209,52.7152,19.1853,40.8169,17.2262,55.4234,119.643,218.632,154.912,4080.12,3573.02,3324.3
8.83333,65.7301,26.3791,65.046,293.493,304.444,228.375,538.172,442.711,431.975,187.244,158.686,238.069,21619,13588.3,11426,1297.07,532.936,324.645,358.48,4546.4,2356.75,3230.59,299.629,462.653,3497.51,3116.7,4236.05,886.12,1038.54,956.616,27.7541,54.3673,33.4832,818.496,1143.41,15.6987,50.7146,19.8963,39.7501,17.0559,55.2519,123.442,219.321,155.756,4211.75,3613.14,3353.79
9,66.6657,26.4466,67.0249,289.613,304.147,227.789,534.063,443.862,434.543,188.285,160.026,235.371,21726.8,13647.4,11563.8,1288.18,529.897,321.994,354.862,4576.41,2376.8,3260.3,299.146,459.342,3464.49,3100.05,4201.2,878.409,1027.83,950.231,28.1238,52.753,31.3598,815.446,1137.14,16.0261,53.2165,18.9229,41.7309,16.4045,55.2553,118.286,220.413,157.563,4065.11,3622.95,3378.37
9.16667,67.4322,26.4353,65.0827,286.695,303.033,227.836,532.301,442.96,438.688,188.087,161.555,238.56,21795.4,13712.6,11618.2,1286.43,522.307,322.77,355.791,4605.27,2384.03,3273.57,296.237,461.222,3443.2,3058.82,4177.12,868.055,1014.67,933.336,26.6914,53.8638,31.3329,814.658,1143.34,15.9096,52.3168,19.2933,41.7592,17.1885,54.4925,118.055,216.576,155.88,4113.07,3683.64,3420.79
